old_url,new_path,title,published_at
https://62f7a3-4.myshopify.com/blogs/news/understanding-and-using-the-histogram-to-improve-scan-quality,/posts/understanding-and-using-the-histogram-to-improve-scan-quality/,Reading the Histogram: Getting Exposure Right for Your 3D Scans,2026-05-04T11:19:48+02:00
https://62f7a3-4.myshopify.com/blogs/news/openscan3-beta-whats-new,/posts/openscan3-beta-whats-new/,OpenScan3 Beta — What's New,2026-04-17T11:46:56+02:00
https://62f7a3-4.myshopify.com/blogs/news/openscan3-reaches-beta,/posts/openscan3-reaches-beta/,OpenScan3 Beta,2026-04-16T13:31:25+02:00
https://62f7a3-4.myshopify.com/blogs/news/openscan3-firmware-quick-start,/posts/openscan3-firmware-quick-start/,OpenScan3 Firmware: Quick Start & Troubleshooting,2026-04-16T13:31:29+02:00
https://62f7a3-4.myshopify.com/blogs/news/openscan3-firmware-how-tasks-work-in-practice,/posts/openscan3-firmware-how-tasks-work-in-practice/,OpenScan3 Firmware: How tasks work in practice,2026-04-10T11:57:33+02:00
https://62f7a3-4.myshopify.com/blogs/news/why-open-hardware-matters-more-than-ever,/_drafts/why-open-hardware-matters-more-than-ever.md,Why Open Hardware Matters More Than Ever,
https://62f7a3-4.myshopify.com/blogs/news/introducing-openscan-halo-planet-scale-photogrammetry,/posts/introducing-openscan-halo-planet-scale-photogrammetry/,Introducing OpenScan Halo: Planet-scale photogrammetry,2026-04-01T10:46:23+02:00
https://62f7a3-4.myshopify.com/blogs/news/openscan3-task-system-introduction,/posts/openscan3-task-system-introduction/,OpenScan3: Task System Introduction,2026-03-30T17:29:47+02:00
https://62f7a3-4.myshopify.com/blogs/news/openscan3-firmware-smooth-moves,/posts/openscan3-firmware-smooth-moves/,OpenScan3 Firmware: Smooth Moves,2026-03-06T10:46:47+01:00
https://62f7a3-4.myshopify.com/blogs/news/prototype-openscan-multi-camera-rig,/posts/prototype-openscan-multi-camera-rig/,[Prototype] OpenScan Multi-Camera Rig,2026-02-24T19:53:27+01:00
https://62f7a3-4.myshopify.com/blogs/news/openscan3-coordinate-system-why-%CF%86-%CE%B8-instead-of-x-y-z,/posts/openscan3-coordinate-system-why-instead-of-x-y-z/,OpenScan3 Firmware: The Coordinate System,2026-02-10T18:27:23+01:00
https://62f7a3-4.myshopify.com/blogs/news/ordering-from-the-us-no-hidden-fees-no-surprises,/posts/ordering-from-the-us-no-hidden-fees-no-surprises/,"Ordering from the US: No Hidden Fees, No Surprises",2026-02-04T15:28:17+01:00
https://62f7a3-4.myshopify.com/blogs/news/openscan3-firmware-projects-scans,/posts/openscan3-firmware-projects-scans/,OpenScan3 Firmware: Projects & Scans,2026-02-02T12:11:18+01:00
https://62f7a3-4.myshopify.com/blogs/news/preview-of-the-openscan3-firmware-a-fresh-start-with-modern-architecture,/posts/preview-of-the-openscan3-firmware-a-fresh-start-with-modern-architecture/,OpenScan3 Firmware: An Architectural Overview,2026-01-23T13:45:49+01:00
https://62f7a3-4.myshopify.com/blogs/news/new-years-recap-and-outlook,/posts/new-years-recap-and-outlook/,New Year's recap and outlook,2026-01-15T13:49:29+01:00
https://62f7a3-4.myshopify.com/blogs/news/optimizing-3d-scans-what-is-the-right-shutter-speed,/posts/optimizing-3d-scans-what-is-the-right-shutter-speed/,Optimizing 3D Scans: What is the right shutter speed?,2025-04-01T15:40:20+02:00
https://62f7a3-4.myshopify.com/blogs/news/optimizing-3d-scans-how-many-photos-do-you-really-need,/posts/optimizing-3d-scans-how-many-photos-do-you-really-need/,Optimizing 3D Scans: How Many Photos Do You Really Need?,2025-03-26T19:14:43+01:00
https://62f7a3-4.myshopify.com/blogs/news/testing-the-influence-of-jpeg-quality-on-the-3d-scan-results,/posts/testing-the-influence-of-jpeg-quality-on-the-3d-scan-results/,Testing the influence of JPEG quality on the 3D scan results,2025-03-20T11:52:34+01:00
https://62f7a3-4.myshopify.com/blogs/news/2025-02-25-3d-druck-openscan-schild,/_drafts/2025-02-25-3d-druck-openscan-schild.md,Introducing the OpenScan Shop Sign,
https://62f7a3-4.myshopify.com/blogs/news/template-references-lorem-ipsum-dolor-sit-am,/_drafts/template-references-lorem-ipsum-dolor-sit-am.md,Template references >new article<,
https://62f7a3-4.myshopify.com/blogs/news/template,/_drafts/template.md,3D-printed emblem cap for hubcap,
https://62f7a3-4.myshopify.com/blogs/news/bambulab_infinimod,/posts/bambulab-infinimod/,Bambu Lab A1 Mini - InfiniMod - Endless 3d printing,2025-02-07T17:20:18+01:00
https://62f7a3-4.myshopify.com/blogs/news/polarizer-module-for-openscan-classic,/posts/polarizer-module-for-openscan-classic/,Polarizer Module for OpenScan Classic,2025-02-04T10:45:12+01:00
https://62f7a3-4.myshopify.com/blogs/news/openscan-benchy-comparing-300-100-000-scanners,/_drafts/openscan-benchy-comparing-300-100-000-scanners.md,OpenScan Benchy - Comparing 300€ - 100.000€ scanners,
https://62f7a3-4.myshopify.com/blogs/news/worlds-first-fully-automated-3d-copy-machine,/posts/worlds-first-fully-automated-3d-copy-machine/,Worlds first fully automated 3d copy machine,2024-08-16T13:30:49+02:00
https://62f7a3-4.myshopify.com/blogs/news/openscan-benchy-3d-scanning-benchmark,/posts/openscan-benchy-3d-scanning-benchmark/,OpenScan Benchy - 3D Scanning Benchmark,2024-07-08T10:46:49+02:00
https://62f7a3-4.myshopify.com/blogs/news/3d-scanning-miniatures,/posts/3d-scanning-miniatures/,3D Scanning Miniatures,2022-11-29T13:30:00+01:00
https://62f7a3-4.myshopify.com/blogs/news/short-review-new-arducam-tof-sensor-kickstarter,/posts/short-review-new-arducam-tof-sensor-kickstarter/,Short Review - New Arducam TOF sensor (Kickstarter),2022-09-26T13:30:00+02:00
https://62f7a3-4.myshopify.com/blogs/news/raspberrypi-hq-and-fujian-35mm-f1-6-deep-dive,/posts/raspberrypi-hq-and-fujian-35mm-f1-6-deep-dive/,RaspberryPi HQ and Fujian 35mm f1.6 deep dive,2022-08-22T13:30:00+02:00
https://62f7a3-4.myshopify.com/blogs/news/is-openscan-an-open-source-project,/posts/is-openscan-an-open-source-project/,Is OpenScan an Open Source project?,2024-02-04T13:30:00+01:00
https://62f7a3-4.myshopify.com/blogs/news/openscan-classic-with-rpi-hq-camera-is-it-any-good,/posts/openscan-classic-with-rpi-hq-camera-is-it-any-good/,"OpenScan Classic with RPI HQ camera, is it any good?",2022-08-11T13:00:00+02:00
https://62f7a3-4.myshopify.com/blogs/news/chasing-microns-openscan-mini-accuracy-test-part-2,/posts/chasing-microns-openscan-mini-accuracy-test-part-2/,Chasing microns - OpenScan Mini accuracy test part 2,2022-06-15T13:00:00+02:00
https://62f7a3-4.myshopify.com/blogs/news/0-008mm-accuracy-with-the-openscan-mini-tutorial-mesh-analysis-using-cloudcompare,/posts/0-008mm-accuracy-with-the-openscan-mini-tutorial-mesh-analysis-using-cloudcompare/,0.008mm accuracy with the OpenScan Mini - Tutorial - Mesh analysis using CloudCompare,2022-06-09T13:00:00+02:00
https://62f7a3-4.myshopify.com/blogs/news/openscan-mini-makemagazin-de-and-more-news,/posts/openscan-mini-makemagazin-de-and-more-news/,OpenScan Mini @ MakeMagazin DE and more news,2022-06-08T12:30:00+02:00
https://62f7a3-4.myshopify.com/blogs/news/360-degree-3d-scan-without-any-post-processing,/posts/360-degree-3d-scan-without-any-post-processing/,360 degree 3D Scan without any post-processing,2022-03-02T12:30:00+01:00
https://62f7a3-4.myshopify.com/blogs/news/scanning-white-objects-with-the-help-of-uv-powder,/posts/scanning-white-objects-with-the-help-of-uv-powder/,Scanning white objects with the help of UV powder,2022-02-15T12:30:00+01:00
https://62f7a3-4.myshopify.com/blogs/news/beta-firmware-imx519-16mpx-autofocus-dslr-finally,/_drafts/beta-firmware-imx519-16mpx-autofocus-dslr-finally.md,Beta Firmware - IMX519 (16mpx autofocus) + DSLR (finally!!),
https://62f7a3-4.myshopify.com/blogs/news/update-on-the-upcoming-openscan-firmware-release-imx519-other-changes,/posts/update-on-the-upcoming-openscan-firmware-release-imx519-other-changes/,Update on the upcoming OpenScan firmware release (IMX519 + other changes),2022-01-28T12:30:00+01:00
https://62f7a3-4.myshopify.com/blogs/news/major-firmware-update-openscancloud-4-all,/posts/major-firmware-update-openscancloud-4-all/,Major Firmware Update - OpenScanCloud 4 All,2022-01-08T12:00:00+01:00
https://62f7a3-4.myshopify.com/blogs/news/openscancloud-added-texture-little-christmas-promo,/posts/openscancloud-added-texture-little-christmas-promo/,OpenScanCloud - Added texture (+ Little Christmas promo),2021-12-22T12:00:00+01:00
https://62f7a3-4.myshopify.com/blogs/news/openscan-arducam-testing-the-new-16-megapixel-camera,/posts/openscan-arducam-testing-the-new-16-megapixel-camera/,OpenScan + Arducam - testing the new 16 Megapixel camera,2021-12-09T11:30:00+01:00
https://62f7a3-4.myshopify.com/blogs/news/openscan-mini-classic-new-firmware-beta,/posts/openscan-mini-classic-new-firmware-beta/,OpenScan Mini + Classic - New Firmware (Beta),2021-11-22T11:30:00+01:00
https://62f7a3-4.myshopify.com/blogs/news/openscancloud-drone-photogrammetry,/posts/openscancloud-drone-photogrammetry/,OpenScanCloud + Drone Photogrammetry,2021-11-01T11:30:00+01:00
https://62f7a3-4.myshopify.com/blogs/news/mobile-scanning-preparing-a-major-update,/posts/mobile-scanning-preparing-a-major-update/,Mobile Scanning - Preparing a major update,2021-10-28T11:00:00+02:00
https://62f7a3-4.myshopify.com/blogs/news/3d-scan-torture-test-1-detailed-object,/posts/3d-scan-torture-test-1-detailed-object/,3D Scan Torture Test (1) - Detailed object,2021-10-20T11:00:00+02:00
https://62f7a3-4.myshopify.com/blogs/news/new-firmware-with-cloud-functionality-for-openscan-classic-mini-beta,/posts/new-firmware-with-cloud-functionality-for-openscan-classic-mini-beta/,New Firmware with cloud functionality for OpenScan Classic & Mini (Beta),2021-10-11T11:00:00+02:00
https://62f7a3-4.myshopify.com/blogs/news/openscancloud-osc-desktop-uploader-for-windows-beta,/posts/openscancloud-osc-desktop-uploader-for-windows-beta/,OpenScanCloud (OSC) Desktop Uploader for Windows (beta),2021-10-08T11:00:00+02:00
https://62f7a3-4.myshopify.com/blogs/news/scantheworld-lion-sculpture-in-halle-saale,/posts/scantheworld-lion-sculpture-in-halle-saale/,ScanTheWorld - Lion Sculpture in Halle (Saale),2021-09-27T10:30:00+02:00
https://62f7a3-4.myshopify.com/blogs/news/openscancloud-osc-desktop-python-uploader-beta,/posts/openscancloud-osc-desktop-python-uploader-beta/,OpenScanCloud (OSC) Desktop & Python Uploader (beta),2021-09-10T10:30:00+02:00
https://62f7a3-4.myshopify.com/blogs/news/tutorial-scanning-a-metal-key-with-the-right-amount-of-scanning-chalk-spray,/posts/tutorial-scanning-a-metal-key-with-the-right-amount-of-scanning-chalk-spray/,Tutorial - Scanning a metal key with the right amount of scanning/chalk spray,2021-08-23T09:30:00+02:00
https://62f7a3-4.myshopify.com/blogs/news/major-update-openscan-micro-future-1,/posts/major-update-openscan-micro-future-1/,Major Update - OpenScan Micro & Future,2021-08-18T09:30:00+02:00
